Water RowID,Date, Time,Water Temp C,SiteID,Water LoggerID,Date Time
1536,19-Nov-12,14:30:00,3.591,PBCC,10000520,2012-11-19 14:30
1537,19-Nov-12,15:00:00,3.749,PBCC,10000520,2012-11-19 15:00
1538,19-Nov-12,15:30:00,3.88,PBCC,10000520,2012-11-19 15:30
1539,19-Nov-12,16:00:00,3.985,PBCC,10000520,2012-11-19 16:00
1540,19-Nov-12,16:30:00,4.063,PBCC,10000520,2012-11-19 16:30
1541,19-Nov-12,17:00:00,4.089,PBCC,10000520,2012-11-19 17:00
1542,19-Nov-12,17:30:00,4.089,PBCC,10000520,2012-11-19 17:30
1543,19-Nov-12,18:00:00,4.089,PBCC,10000520,2012-11-19 18:00
1544,19-Nov-12,18:30:00,4.063,PBCC,10000520,2012-11-19 18:30
1545,19-Nov-12,19:00:00,4.037,PBCC,10000520,2012-11-19 19:00
1546,19-Nov-12,19:30:00,3.985,PBCC,10000520,2012-11-19 19:30
1547,19-Nov-12,20:00:00,3.906,PBCC,10000520,2012-11-19 20:00
1548,19-Nov-12,20:30:00,3.801,PBCC,10000520,2012-11-19 20:30
1549,19-Nov-12,21:00:00,3.749,PBCC,10000520,2012-11-19 21:00
1550,19-Nov-12,21:30:00,3.67,PBCC,10000520,2012-11-19 21:30
1551,19-Nov-12,22:00:00,3.591,PBCC,10000520,2012-11-19 22:00
1552,19-Nov-12,22:30:00,3.538,PBCC,10000520,2012-11-19 22:30
1553,19-Nov-12,23:00:00,3.459,PBCC,10000520,2012-11-19 23:00
1554,19-Nov-12,23:30:00,3.38,PBCC,10000520,2012-11-19 23:30
1555,20-Nov-12,00:00:00,3.327,PBCC,10000520,2012-11-20 00:00
1556,20-Nov-12,00:30:00,3.248,PBCC,10000520,2012-11-20 00:30
1557,20-Nov-12,01:00:00,3.168,PBCC,10000520,2012-11-20 01:00
1558,20-Nov-12,01:30:00,3.116,PBCC,10000520,2012-11-20 01:30
1559,20-Nov-12,02:00:00,3.063,PBCC,10000520,2012-11-20 02:00
1560,20-Nov-12,02:30:00,2.956,PBCC,10000520,2012-11-20 02:30
1561,20-Nov-12,03:00:00,2.903,PBCC,10000520,2012-11-20 03:00
1562,20-Nov-12,03:30:00,2.85,PBCC,10000520,2012-11-20 03:30
1563,20-Nov-12,04:00:00,2.77,PBCC,10000520,2012-11-20 04:00
1564,20-Nov-12,04:30:00,2.717,PBCC,10000520,2012-11-20 04:30
1565,20-Nov-12,05:00:00,2.664,PBCC,10000520,2012-11-20 05:00
1566,20-Nov-12,05:30:00,2.584,PBCC,10000520,2012-11-20 05:30
1567,20-Nov-12,06:00:00,2.53,PBCC,10000520,2012-11-20 06:00
1568,20-Nov-12,06:30:00,2.45,PBCC,10000520,2012-11-20 06:30
1569,20-Nov-12,07:00:00,2.423,PBCC,10000520,2012-11-20 07:00
1570,20-Nov-12,07:30:00,2.37,PBCC,10000520,2012-11-20 07:30
1571,20-Nov-12,08:00:00,2.316,PBCC,10000520,2012-11-20 08:00
1572,20-Nov-12,08:30:00,2.262,PBCC,10000520,2012-11-20 08:30
1573,20-Nov-12,09:00:00,2.262,PBCC,10000520,2012-11-20 09:00
1574,20-Nov-12,09:30:00,2.209,PBCC,10000520,2012-11-20 09:30
1575,20-Nov-12,10:00:00,2.262,PBCC,10000520,2012-11-20 10:00
1576,20-Nov-12,10:30:00,2.37,PBCC,10000520,2012-11-20 10:30
1577,20-Nov-12,11:00:00,2.53,PBCC,10000520,2012-11-20 11:00
1578,20-Nov-12,11:30:00,2.664,PBCC,10000520,2012-11-20 11:30
1579,20-Nov-12,12:00:00,2.797,PBCC,10000520,2012-11-20 12:00
1580,20-Nov-12,12:30:00,2.983,PBCC,10000520,2012-11-20 12:30
1581,20-Nov-12,13:00:00,3.142,PBCC,10000520,2012-11-20 13:00
1582,20-Nov-12,13:30:00,3.354,PBCC,10000520,2012-11-20 13:30
1583,20-Nov-12,14:00:00,3.512,PBCC,10000520,2012-11-20 14:00
1584,20-Nov-12,14:30:00,3.722,PBCC,10000520,2012-11-20 14:30
1585,20-Nov-12,15:00:00,3.906,PBCC,10000520,2012-11-20 15:00
1586,20-Nov-12,15:30:00,4.089,PBCC,10000520,2012-11-20 15:30
1587,20-Nov-12,16:00:00,4.168,PBCC,10000520,2012-11-20 16:00
1588,20-Nov-12,16:30:00,4.246,PBCC,10000520,2012-11-20 16:30
1589,20-Nov-12,17:00:00,4.272,PBCC,10000520,2012-11-20 17:00
1590,20-Nov-12,17:30:00,4.272,PBCC,10000520,2012-11-20 17:30
1591,20-Nov-12,18:00:00,4.324,PBCC,10000520,2012-11-20 18:00
1592,20-Nov-12,18:30:00,4.324,PBCC,10000520,2012-11-20 18:30
1593,20-Nov-12,19:00:00,4.272,PBCC,10000520,2012-11-20 19:00
1594,20-Nov-12,19:30:00,4.246,PBCC,10000520,2012-11-20 19:30
1595,20-Nov-12,20:00:00,4.194,PBCC,10000520,2012-11-20 20:00
1596,20-Nov-12,20:30:00,4.089,PBCC,10000520,2012-11-20 20:30
1597,20-Nov-12,21:00:00,4.037,PBCC,10000520,2012-11-20 21:00
1598,20-Nov-12,21:30:00,3.985,PBCC,10000520,2012-11-20 21:30
1599,20-Nov-12,22:00:00,3.958,PBCC,10000520,2012-11-20 22:00
1600,20-Nov-12,22:30:00,3.88,PBCC,10000520,2012-11-20 22:30
1601,20-Nov-12,23:00:00,3.854,PBCC,10000520,2012-11-20 23:00
1602,20-Nov-12,23:30:00,3.827,PBCC,10000520,2012-11-20 23:30
1603,21-Nov-12,00:00:00,3.775,PBCC,10000520,2012-11-21 00:00
1604,21-Nov-12,00:30:00,3.722,PBCC,10000520,2012-11-21 00:30
1605,21-Nov-12,01:00:00,3.67,PBCC,10000520,2012-11-21 01:00
1606,21-Nov-12,01:30:00,3.643,PBCC,10000520,2012-11-21 01:30
1607,21-Nov-12,02:00:00,3.564,PBCC,10000520,2012-11-21 02:00
1608,21-Nov-12,02:30:00,3.512,PBCC,10000520,2012-11-21 02:30
1609,21-Nov-12,03:00:00,3.459,PBCC,10000520,2012-11-21 03:00
1610,21-Nov-12,03:30:00,3.433,PBCC,10000520,2012-11-21 03:30
1611,21-Nov-12,04:00:00,3.38,PBCC,10000520,2012-11-21 04:00
1612,21-Nov-12,04:30:00,3.327,PBCC,10000520,2012-11-21 04:30
1613,21-Nov-12,05:00:00,3.274,PBCC,10000520,2012-11-21 05:00
1614,21-Nov-12,05:30:00,3.248,PBCC,10000520,2012-11-21 05:30
1615,21-Nov-12,06:00:00,3.221,PBCC,10000520,2012-11-21 06:00
1616,21-Nov-12,06:30:00,3.168,PBCC,10000520,2012-11-21 06:30
1617,21-Nov-12,07:00:00,3.142,PBCC,10000520,2012-11-21 07:00
1618,21-Nov-12,07:30:00,3.142,PBCC,10000520,2012-11-21 07:30
1619,21-Nov-12,08:00:00,3.116,PBCC,10000520,2012-11-21 08:00
1620,21-Nov-12,08:30:00,3.116,PBCC,10000520,2012-11-21 08:30
1621,21-Nov-12,09:00:00,3.116,PBCC,10000520,2012-11-21 09:00
1622,21-Nov-12,09:30:00,3.116,PBCC,10000520,2012-11-21 09:30
1623,21-Nov-12,10:00:00,3.168,PBCC,10000520,2012-11-21 10:00
1624,21-Nov-12,10:30:00,3.248,PBCC,10000520,2012-11-21 10:30
1625,21-Nov-12,11:00:00,3.354,PBCC,10000520,2012-11-21 11:00
1626,21-Nov-12,11:30:00,3.433,PBCC,10000520,2012-11-21 11:30
1627,21-Nov-12,12:00:00,3.591,PBCC,10000520,2012-11-21 12:00
1628,21-Nov-12,12:30:00,3.801,PBCC,10000520,2012-11-21 12:30
1629,21-Nov-12,13:00:00,3.985,PBCC,10000520,2012-11-21 13:00
1630,21-Nov-12,13:30:00,4.089,PBCC,10000520,2012-11-21 13:30
1631,21-Nov-12,14:00:00,4.194,PBCC,10000520,2012-11-21 14:00
1632,21-Nov-12,14:30:00,4.324,PBCC,10000520,2012-11-21 14:30
1633,21-Nov-12,15:00:00,4.48,PBCC,10000520,2012-11-21 15:00
1634,21-Nov-12,15:30:00,4.532,PBCC,10000520,2012-11-21 15:30
1635,21-Nov-12,16:00:00,4.61,PBCC,10000520,2012-11-21 16:00
1636,21-Nov-12,16:30:00,4.688,PBCC,10000520,2012-11-21 16:30
1637,21-Nov-12,17:00:00,4.688,PBCC,10000520,2012-11-21 17:00
1638,21-Nov-12,17:30:00,4.714,PBCC,10000520,2012-11-21 17:30
1639,21-Nov-12,18:00:00,4.688,PBCC,10000520,2012-11-21 18:00
1640,21-Nov-12,18:30:00,4.636,PBCC,10000520,2012-11-21 18:30
1641,21-Nov-12,19:00:00,4.584,PBCC,10000520,2012-11-21 19:00
1642,21-Nov-12,19:30:00,4.558,PBCC,10000520,2012-11-21 19:30
1643,21-Nov-12,20:00:00,4.48,PBCC,10000520,2012-11-21 20:00
1644,21-Nov-12,20:30:00,4.376,PBCC,10000520,2012-11-21 20:30
1645,21-Nov-12,21:00:00,4.272,PBCC,10000520,2012-11-21 21:00
1646,21-Nov-12,21:30:00,4.168,PBCC,10000520,2012-11-21 21:30
1647,21-Nov-12,22:00:00,4.089,PBCC,10000520,2012-11-21 22:00
1648,21-Nov-12,22:30:00,4.011,PBCC,10000520,2012-11-21 22:30
1649,21-Nov-12,23:00:00,3.932,PBCC,10000520,2012-11-21 23:00
1650,21-Nov-12,23:30:00,3.88,PBCC,10000520,2012-11-21 23:30
1651,22-Nov-12,00:00:00,3.801,PBCC,10000520,2012-11-22 00:00
1652,22-Nov-12,00:30:00,3.749,PBCC,10000520,2012-11-22 00:30
1653,22-Nov-12,01:00:00,3.696,PBCC,10000520,2012-11-22 01:00
1654,22-Nov-12,01:30:00,3.67,PBCC,10000520,2012-11-22 01:30
1655,22-Nov-12,02:00:00,3.617,PBCC,10000520,2012-11-22 02:00
1656,22-Nov-12,02:30:00,3.538,PBCC,10000520,2012-11-22 02:30
1657,22-Nov-12,03:00:00,3.538,PBCC,10000520,2012-11-22 03:00
1658,22-Nov-12,03:30:00,3.485,PBCC,10000520,2012-11-22 03:30
1659,22-Nov-12,04:00:00,3.459,PBCC,10000520,2012-11-22 04:00
1660,22-Nov-12,04:30:00,3.433,PBCC,10000520,2012-11-22 04:30
1661,22-Nov-12,05:00:00,3.354,PBCC,10000520,2012-11-22 05:00
1662,22-Nov-12,05:30:00,3.327,PBCC,10000520,2012-11-22 05:30
1663,22-Nov-12,06:00:00,3.274,PBCC,10000520,2012-11-22 06:00
1664,22-Nov-12,06:30:00,3.274,PBCC,10000520,2012-11-22 06:30
1665,22-Nov-12,07:00:00,3.195,PBCC,10000520,2012-11-22 07:00
1666,22-Nov-12,07:30:00,3.168,PBCC,10000520,2012-11-22 07:30
1667,22-Nov-12,08:00:00,3.116,PBCC,10000520,2012-11-22 08:00
1668,22-Nov-12,08:30:00,3.089,PBCC,10000520,2012-11-22 08:30
